cnd_id,word_id,word_phrase,category,allow_use,consent_required,consenting_body,Examiner Information,Formatted Client Instructions (instructions)
11,657,ROYAL LEPAGE,Real Estate,Y,Y,Royal Lepage - Trademark Holder,,"Use Of This Term Requires Written Consent From  Royal Lepage - Trademark Holder. Please Scan Your Consent To bcregistries@gov.bc.ca
"
12,491,PCI,Real Estate,Y,,Pci Realty Corp. Incorporation #258340,You may be able to use this term if it is not related to Real Estate.  Ie: PCI Home Care Ltd.,"Use Of This Term Requires Written Consent From:  Pci Realty Corp. Incorporation #258340.
Please Scan Your Consent To bcregistries@gov.bc.ca"
12,492,PCI REALTY,Real Estate,Y,Y,Pci Realty Corp. Incorporation #258340,,"Use Of This Term Requires Written Consent From:  Pci Realty Corp. Incorporation #258340.
Please Scan Your Consent To bcregistries@gov.bc.ca"
13,573,REALTY WORLD,Real Estate,Y,Y, Realestate World Services (1978) Ltd. Registration #A-17060,,"Use Of This Term Requires Written Consent From:  Realestate World Services (1978) Ltd. Registration #A-17060. Please Scan Your Consent To bcregistries@gov.bc.ca
"
14,738,UNIGLOBE,Trademark,Y,Y,,,Use Of This Term Requires Written Consent From The Trademark Holder. Please Scan Your Consent To bcregistries@gov.bc.ca
15,576,REEMARK,Protected,Y,Y,Reemark Park Woods Limited  -  Registration #A-25064,,"Use Of This Term Requires Written Consent From:   Reemark Park Woods Limited  -  Registration #A-25064. Please Scan Your Consent To bcregistries@gov.bc.ca
"
16,20,ALS,Professional Body,Y,,The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912,You may be able to use this term if it is not related to Medical.  Ie: ALS Pluming Services Ltd.,Use Of This Term Requires Written Consent From The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912. Please Scan Your Consent To bcregistries@gov.bc.ca
16,21,AMYOTROPHIC LATERAL SCLEROSIS,Professional Body,Y,Y,The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912,,Use Of This Term Requires Written Consent From The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912. Please Scan Your Consent To bcregistries@gov.bc.ca
16,403,LOU GEHRIGS DISEASE,Professional Body,Y,Y,The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912,,Use Of This Term Requires Written Consent From The Amyotrophic  Lateral Sclerosis Society Of British Columbia - Incorporation #S-16912. Please Scan Your Consent To bcregistries@gov.bc.ca
17,14,AGROLOGIST,Professional Body,Y,Y,British Columbia Insitute Of Agrologists - Private Act # 33       ,,Use Of This Term Requires Written Consent From British Columbia Insitute Of Agrologists - Private Act # 33. Please Scan Your Consent To bcregistries@gov.bc.ca
17,15,AGROLOGISTS,Professional Body,Y,Y,British Columbia Insitute Of Agrologists - Private Act # 33       ,,Use Of This Term Requires Written Consent From British Columbia Insitute Of Agrologists - Private Act # 33. Please Scan Your Consent To bcregistries@gov.bc.ca
17,488,PAG,Professional Body,Y,,British Columbia Insitute Of Agrologists - Private Act # 33       ,You may be able to use this term if it is not related to Agrology/Soil Science/Agriculture.  Ie:  PAG Hotel Management Society    ,Use Of This Term Requires Written Consent From British Columbia Insitute Of Agrologists - Private Act # 33. Please Scan Your Consent To bcregistries@gov.bc.ca
17,539,PROFESSIONAL AGRICULTURIST,Professional Body,Y,Y,British Columbia Insitute Of Agrologists - Private Act # 33       ,,"Use Of This Term Requires Written Consent From British Columbia Insitute Of Agrologists - Private Act # 33       
Please Scan Your Consent To bcregistries@gov.bc.ca"
18,22,ANAVET,Professional Body,Y,Y,"Army, Navy And Air Force Veterans In Canada, British Columbia Command",,"Use Of This Term Requires Written Consent From Army, Navy And Air Force Veterans In Canada, British Columbia Command
Please Scan Your Consent To bcregistries@gov.bc.ca"
19,74,BCR,Government,Y,,British Columbia Railway -Private Act #43,You may be able to use this term if it is not related to rail or transportation. Ie: BCR Back Restraint Co.,"Use Of This Term Requires Written Consent From British Columbia Railway -Private Act #43
Please Scan Your Consent To bcregistries@gov.bc.ca"
20,91,BRIC,Protected,Y,Y,Westar Group Ltd.Incorporation #171532,,"Use Of This Term Requires Written Consent From Westar Group Ltd.Incorporation #171532
Please Scan Your Consent To bcregistries@gov.bc.ca"
22,50,BANK,Finance,Y,,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,You may be able to use this term if it is not related to banking. Ie: Bank Plumbing Inc.,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,51,BANKER,Finance,Y,,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,You may be able to use this term if it is not related to banking. Ie: Banker Plumbing Inc.,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,52,BANKERS,Finance,Y,,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,You may be able to use this term if it is not related to banking. Ie: Bankers Plumbing Inc.,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,53,BANKING,Finance,Y,Y,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,56,BANKS,Finance,Y,,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,You may be able to use this term if it is not related to banking. Ie: Banks Plumbing Inc.,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,57,BANX,Finance,Y,,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,You may be able to use this term if it is not related to banking. Ie: Banx Plumbing Inc.,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,238,E BANK,Finance,Y,Y,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
22,241,EBANK,Finance,Y,Y,Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980,,Use Of This Term Requires Written Consent From Office Of The Superintendent Of Financial Institutions Canada Ph 613 943-3950  Email Useofname@Osfi-Bsif.Gc.Ca Fax 613 990-5591 Tty 613 943-3980. Please Scan Your Consent To bcregistries@gov.bc.ca
23,81,BIG BROS,Society,Y,,Big Brothers Of  British Columbia And Affiliated Big Sisters,You may be able to use this term if it is not related to big brothers and sisters. :ie Big Bros Eatery Inc.,Use Of This Term Requires Written Consent From Big Brothers Of  British Columbia And Affiliated Big Sisters. Please Scan Your Consent To bcregistries@gov.bc.ca
23,82,BIG BROTHERS,Society,Y,,Big Brothers Of  British Columbia And Affiliated Big Sisters,You may be able to use this term if it is not related to big brothers and sisters. :ie Big Brother Eatery Inc.,Use Of This Term Requires Written Consent From Big Brothers Of  British Columbia And Affiliated Big Sisters. Please Scan Your Consent To bcregistries@gov.bc.ca
23,83,BIG SISTERS,Society,Y,,Big Brothers Of  British Columbia And Affiliated Big Sisters,You may be able to use this term if it is not related to big brothers and sisters. :ie Big Sisters Eatery Inc.,Use Of This Term Requires Written Consent From Big Brothers Of  British Columbia And Affiliated Big Sisters. Please Scan Your Consent To bcregistries@gov.bc.ca
25,129,CERTIFIED GENERAL ACCOUNTANT,Professional Body,Y,Y,"Chartered Professional Accountants Of British Columbia, Toll Free: 1-800-663-2677",,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
25,137,CGA,Finance,Y,,"Chartered Professional Accountants Of British Columbia, Toll Free: 1-800-663-2677",You may be able to use this term if it is not related to accounting/finance. Ie: CGA foods Inc.,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,106,CA,Finance,Y,,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),You may be able to use this term if it is not related to accounting/finance. Ie: CA Foods Inc.,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,138,CHARTERED ACCOUNTANT,Finance,Y,Y,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,139,CHARTERED ACCOUNTANTS,Finance,Y,Y,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,140,CHARTERED PROFESSIONAL ACCOUNTANT,Finance,Y,Y,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,141,CHARTERED PROFESSIONAL ACCOUNTANTS,Finance,Y,Y,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,183,CPA,Finance,Y,,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),You may be able to use this term if it is not related to accounting/finance. Ie: CPA Swimsuits Inc.,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,184,CPAS,Finance,Y,,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),You may be able to use this term if it is not related to accounting/finance. Ie: CPA Swimsuits Inc.,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
26,537,PROFESSIONAL ACCOUNTANT,Finance,Y,Y,Chartered Professional Accountantsbritish Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca),,Use Of This Term Requires Written Consent From Chartered Professional Accountants of British Columbia 1-800-663-2677 (604)872-7222; Include Nr Number In Request (Public Practice@Bccpa.Ca). Please Scan Your Consent To bcregistries@gov.bc.ca
28,157,COLIN LIAM BEECHINOR,Misc,Y,Y,"Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8",,"Use Of This Term Requires Written Consent From Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8. Please Scan Your Consent To bcregistries@gov.bc.ca"
28,158,COLIN SMILE,Misc,Y,Y,"Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8",,"Use Of This Term Requires Written Consent From Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8. Please Scan Your Consent To bcregistries@gov.bc.ca"
28,159,COLINS SMILE,Misc,Y,Y,"Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8",,"Use Of This Term Requires Written Consent From Ms. Kathleen Beechinoor, 3300 El Casa Court, Coquitlam, B.C. V3E 2P8. Please Scan Your Consent To bcregistries@gov.bc.ca"
30,245,EMILY CARR,Professional Body,Y,Y,Emily Carr  University Of Art And Design,,"Use Of This Term Requires Written Consent From Emily Carr  University Of Art And Design.
Please Scan Your Consent To bcregistries@gov.bc.ca"
31,243,ELKS,Professional Body,Y,,The Benevolent And Protective Order Of Elks Of Canada,You may be able to use this term if it is not related to The Benevolent And Protective Order Of Elks Of Canada. Ie: Elks Studio Inc.,Use Of This Term Requires Written Consent From The Benevolent And Protective Order Of Elks Of Canada. Please Scan Your Consent To bcregistries@gov.bc.ca
32,252,ESSO,Oil & Gas,Y,,Imperial Oil     Limited  - Registration #A-14082,You may be able to use this term if it is not related to Oil and Gas. ie: Esso Studio Inc.,"Use Of This Term Requires Written Consent From Imperial Oil Limited  - Registration #A-14082.
Please Scan Your Consent To bcregistries@gov.bc.ca"
32,325,IMPERIAL OIL,Oil & Gas,Y,Y,Imperial Oil     Limited  - Registration #A-14082,,"Use Of This Term Requires Written Consent From Imperial Oil Limited  - Registration #A-14082.
Please Scan Your Consent To bcregistries@gov.bc.ca"
32,359,L IMPERIALE,Oil & Gas,Y,Y,Imperial Oil     Limited  - Registration #A-14082,,"Use Of This Term Requires Written Consent From Imperial Oil Limited  - Registration #A-14082.
Please Scan Your Consent To bcregistries@gov.bc.ca"
32,497,PETROLIERE IMPERIALE,Oil & Gas,Y,Y,Imperial Oil     Limited  - Registration #A-14082,,"Use Of This Term Requires Written Consent From Imperial Oil Limited  - Registration #A-14082.
Please Scan Your Consent To bcregistries@gov.bc.ca"
33,170,CONSULTING ENGINEER,Professional Body,Y,Y," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,247,ENGINEER,Professional Body,Y,," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",You may be able to use this term if it is not related to Engineer and Geoscientists of BC. Ie: Engineer Hardwood Inc.,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,248,ENGINEERING,Professional Body,Y,," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",You may be able to use this term if it is not related to Engineer and Geoscientists of BC. Ie: Engineering Hardwood Inc.,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,331,INGENIERE,Professional Body,Y,," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",You may be able to use this term if it is not related to Engineer and Geoscientists of BC. Ie: Ingeniere Hardwood Inc.,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,332,INGENIEUR,Professional Body,Y,," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",You may be able to use this term if it is not related to Engineer and Geoscientists of BC. Ie: Ingenieur Hardwood Inc.,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,333,INGENIEUR CONSIEL,Professional Body,Y,Y," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,485,P ENG,Professional Body,Y,Y," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
33,540,PROFESSIONAL ENGINEER,Professional Body,Y,Y," (Www.Egbc.Ca) Engineers And Geoscientists Bc  200 - 4010 Regent St. Burnaby,Bc V5C 6N2 Ph 604 430-8035 Fax 604 430-8085",,"Use Of This Term Requires Written Consent From (www.egbc.ca) Engineers And Geoscientists BC, 200 - 4010 Regent St. Burnaby,BC V5C 6N2 Ph 604 430-8035 Fax 604 430-8085. Please Scan Your Consent To bcregistries@gov.bc.ca"
34,263,FOLLOW THE BIRDS TO VICTORIA,Alert,N,,,,Use Of This Term Is Reserved Perpetually For The Ministry Of Tourism
36,256,FARMERS INSTITUTE,Government,N, ,,,Use Of This Term Requires Written Consent From The Ministry of Agriculture (Farmers and Womens Institutre Act).  Please Scan Your Consent To bcregistries@gov.bc.ca
37,6,4 H,Alert,Y,Y,,,Use Of This Term Requires Written Consent from Canadian Council On 4-H Clubs.  Please Scan Your Consent To bcregistries@gov.bc.ca
38,7,4H,Alert,Y,Y,,,Use Of This Term Requires Written Consent from Canadian Council On 4-H Clubs.  Please Scan Your Consent To bcregistries@gov.bc.ca
39,694,SUMMER GAMES,Professional Body,Y,Y,The B.C. Games  -  Society #22603,,"Use Of This Term Requires Written Consent From:  The B.C. Games  -  Society #22603. Please Scan Your Consent To bcregistries@gov.bc.ca
"
39,769,WINTER GAMES,Professional Body,Y,Y,The B.C. Games  -  Society #22603,,"Use Of This Term Requires Written Consent From:  The B.C. Games  -  Society #22603. Please Scan Your Consent To bcregistries@gov.bc.ca
"
40,305,HOMALCO,Indeginous,Y,Y,"Homalco Indian   Band, P.O. Box 789, Campbell River, B.C.  V9W 6Y4",,"Use Of This Term Requires Written Consent From Homalco Indian Band, P.O. Box 789, Campbell River, B.C.  V9W 6Y4. Please Scan Your Consent To bcregistries@gov.bc.ca"
41,309,HONEYWELL,Alert,Y,Y,Honeywell Limited Registration #A-32049,,Use Of This Term Requires Written Consent From Honeywell Limited Registration #A-32049. Please Scan Your Consent To bcregistries@gov.bc.ca
42,294,HBC,Alert,Y,Y,The Governor And Company Of Adventurers Of England Trading Into Hudson'S Bay.  Registration #A-11078,,Use Of This Term Requires Written Consent From The Governor And Company Of Adventurers Of England Trading Into Hudson'S Bay.  Registration #A-11078. Please Scan Your Consent To bcregistries@gov.bc.ca
42,314,HUDSONS BAY COMPANY,Alert,Y,Y,The Governor And Company Of Adventurers Of England Trading Into Hudson'S Bay.  Registration #A-11078,,Use Of This Term Requires Written Consent From The Governor And Company Of Adventurers Of England Trading Into Hudson'S Bay.  Registration #A-11078. Please Scan Your Consent To bcregistries@gov.bc.ca
43,96,BUICK,Auto,Y,Y,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,144,CHEVROLET,Auto,Y,Y,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,275,GEO,Auto,Y,,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,You may be able to use this term if it is not related to the automotive industry or vehicles. Ie: Geo Studio Inc.,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,345,ISUZU,Auto,Y,Y,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,467,OLDSMOBILE,Auto,Y,Y,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,526,PONTIAC,Auto,Y,Y,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
43,669,SATURN,Auto,Y,,General Motors Ofcanada Company/Compagnie General Motors Du Canada #A-82341,You may be able to use this term if it is not related to the automotive industry or vehicles. Ie: Saturn Art Gallery Inc.,Use Of This Term Requires Written Consent From General Motors Of Canada Company/Compagnie General Motors Du Canada #A-82341. Please Scan Your Consent To bcregistries@gov.bc.ca
45,340,INTERMEDIATE CARE,Government,Y,Y,"The Ministry Of  Health, Continuing Care Division, 1515 Blanshard St., Victoria,  B.C. V8W 3C8",,"Use Of This Term Requires Written Consent From The Ministry Of Health, Continuing Care Division, 1515 Blanshard St., Victoria,  B.C. V8W 3C8. Please Scan Your Consent To bcregistries@gov.bc.ca"
51,384,LEGION,Professional Body,Y,Y,"Royal Canadian   Legion, Pacific Command, 3026 Arbutus St., Vancouver, B.C.       V6J 4P7",,"Use Of This Term Requires Written Consent From Royal Canadian Legion, Pacific Command, 3026 Arbutus St., Vancouver, B.C. V6J 4P7. Please Scan Your Consent To bcregistries@gov.bc.ca"
